fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
1,mono_cebuano,bikol_test,all,36.6667,0.71,0.367,0.19,0.148,CEB,BCL,ALL (mBERT),BCL | ALL (mBERT),0.3383333333333334
1,mono_cebuano,cebuano_test,all,61.4286,0.639,0.614,0.177,0.4094,CEB,CEB,ALL (mBERT),CEB | ALL (mBERT),0.589
1,mono_cebuano,tagalog_test,xlmr,39.6226,0.392,0.396,0.316,0.0832,CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.38999999999999996
1,mono_cebuano,bikol_test,xlmr,60.0,0.772,0.6,0.143,0.4231,CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.5710000000000001
1,mono_cebuano,cebuano_test,xlmr,64.2857,0.647,0.643,0.176,0.4413,CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.6066666666666667
1,mono_cebuano,tagalog_test,all_xlmr,41.5094,0.4,0.415,0.305,0.1138,CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.4003333333333334
1,mono_cebuano,bikol_test,all_xlmr,60.0,0.785,0.6,0.131,0.434,CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.5833333333333334
1,mono_cebuano,cebuano_test,all_xlmr,61.4286,0.617,0.614,0.194,0.3973,CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.577
1,bi_bikol_tagalog,tagalog_test,mbert,56.6038,0.578,0.566,0.233,0.3411,TGL+BCL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.5716666666666667
1,bi_bikol_tagalog,bikol_test,mbert,53.3333,0.517,0.533,0.291,0.2308,TGL+BCL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.455
1,bi_bikol_tagalog,cebuano_test,mbert,58.5714,0.649,0.586,0.173,0.3754,TGL+BCL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.5616666666666666
1,bi_bikol_tagalog,tagalog_test,all,64.1509,0.668,0.642,0.191,0.4557,TGL+BCL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.6453333333333333
1,bi_bikol_tagalog,bikol_test,all,53.3333,0.535,0.533,0.311,0.2308,TGL+BCL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.4896666666666667
1,bi_bikol_tagalog,cebuano_test,all,64.2857,0.675,0.643,0.161,0.4514,TGL+BCL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.616
1,bi_bikol_tagalog,tagalog_test,xlmr,62.2642,0.627,0.623,0.192,0.4307,TGL+BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.6183333333333333
1,bi_bikol_tagalog,bikol_test,xlmr,53.3333,0.555,0.533,0.254,0.2473,TGL+BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.4306666666666667
1,bi_bikol_tagalog,cebuano_test,xlmr,54.2857,0.462,0.543,0.282,0.2488,TGL+BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.43
1,bi_bikol_tagalog,tagalog_test,all_xlmr,60.3774,0.644,0.604,0.197,0.4048,TGL+BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.5996666666666667
1,bi_bikol_tagalog,bikol_test,all_xlmr,56.6667,0.583,0.567,0.247,0.2935,TGL+BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.4676666666666667
1,bi_bikol_tagalog,cebuano_test,all_xlmr,52.8571,0.451,0.529,0.287,0.229,TGL+BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.42366666666666664
1,bi_cebuano_bikol,tagalog_test,mbert,45.283,0.462,0.453,0.278,0.1745,BCL+CEB,TGL,mBERT Embdng,TGL | mBERT Embdng,0.371
1,bi_cebuano_bikol,bikol_test,mbert,60.0,0.534,0.6,0.266,0.3296,BCL+CEB,BCL,mBERT Embdng,BCL | mBERT Embdng,0.457
1,bi_cebuano_bikol,cebuano_test,mbert,74.2857,0.77,0.743,0.104,0.605,BCL+CEB,CEB,mBERT Embdng,CEB | mBERT Embdng,0.7173333333333334
1,bi_cebuano_bikol,tagalog_test,all,45.283,0.462,0.453,0.278,0.1745,BCL+CEB,TGL,ALL (mBERT),TGL | ALL (mBERT),0.371
1,bi_cebuano_bikol,bikol_test,all,66.6667,0.647,0.667,0.195,0.4595,BCL+CEB,BCL,ALL (mBERT),BCL | ALL (mBERT),0.574
1,bi_cebuano_bikol,cebuano_test,all,71.4286,0.728,0.714,0.132,0.5586,BCL+CEB,CEB,ALL (mBERT),CEB | ALL (mBERT),0.6906666666666667
1,bi_cebuano_bikol,tagalog_test,xlmr,45.283,0.464,0.453,0.281,0.1728,BCL+CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.39366666666666666
1,bi_cebuano_bikol,bikol_test,xlmr,73.3333,0.732,0.733,0.171,0.5604,BCL+CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.6786666666666666
1,bi_cebuano_bikol,cebuano_test,xlmr,67.1429,0.668,0.671,0.162,0.4869,BCL+CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.6213333333333334
1,bi_cebuano_bikol,tagalog_test,all_xlmr,47.1698,0.53,0.472,0.27,0.2013,BCL+CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.4046666666666667
1,bi_cebuano_bikol,bikol_test,all_xlmr,66.6667,0.691,0.667,0.162,0.4792,BCL+CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.6103333333333333
1,bi_cebuano_bikol,cebuano_test,all_xlmr,70.0,0.711,0.7,0.15,0.5321,BCL+CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.6573333333333333
1,bi_tagalog_cebuano,tagalog_test,mbert,49.0566,0.665,0.491,0.238,0.2492,CEB+TGL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.43933333333333335
1,bi_tagalog_cebuano,bikol_test,mbert,53.3333,0.687,0.533,0.207,0.2893,CEB+TGL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.4583333333333333
1,bi_tagalog_cebuano,cebuano_test,mbert,68.5714,0.7,0.686,0.164,0.5064,CEB+TGL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.648
1,bi_tagalog_cebuano,tagalog_test,all,47.1698,0.0,0.472,0.249,0.2214,CEB+TGL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.38199999999999995
1,bi_tagalog_cebuano,bikol_test,all,56.6667,0.643,0.567,0.198,0.3333,CEB+TGL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.48899999999999993
1,bi_tagalog_cebuano,cebuano_test,all,68.5714,0.691,0.686,0.165,0.5058,CEB+TGL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.6486666666666667
1,bi_tagalog_cebuano,tagalog_test,xlmr,41.5094,0.459,0.415,0.265,0.1469,CEB+TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.36200000000000004
1,bi_tagalog_cebuano,bikol_test,xlmr,50.0,0.684,0.5,0.252,0.2308,CEB+TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.4073333333333333
1,bi_tagalog_cebuano,cebuano_test,xlmr,61.4286,0.586,0.614,0.222,0.384,CEB+TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.5353333333333333
1,bi_tagalog_cebuano,tagalog_test,all_xlmr,43.3962,0.471,0.434,0.257,0.1727,CEB+TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.37800000000000006
1,bi_tagalog_cebuano,bikol_test,all_xlmr,50.0,0.684,0.5,0.252,0.2308,CEB+TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.4073333333333333
1,bi_tagalog_cebuano,cebuano_test,all_xlmr,61.4286,0.576,0.614,0.224,0.3832,CEB+TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.538
1,all_languages,tagalog_test,mbert,52.8302,0.549,0.528,0.233,0.293,ALL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.5023333333333334
1,all_languages,bikol_test,mbert,50.0,0.52,0.5,0.35,0.1667,ALL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.4543333333333333
1,all_languages,cebuano_test,mbert,68.5714,0.686,0.686,0.163,0.5013,ALL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.6496666666666666
1,all_languages,tagalog_test,all,52.8302,0.61,0.528,0.233,0.293,ALL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.5033333333333333
1,all_languages,bikol_test,all,50.0,0.576,0.5,0.293,0.2021,ALL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.4443333333333333
1,all_languages,cebuano_test,all,72.8571,0.733,0.729,0.129,0.5718,ALL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.6906666666666667
1,all_languages,tagalog_test,xlmr,52.8302,0.545,0.528,0.251,0.2807,ALL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.5023333333333334
