train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa
bi_bikol_tagalog,cebuano_test,trad,62.8571,0.678,0.629,0.159,0.4475
bi_bikol_tagalog,tagalog_test,trad_clgsngo,47.1698,0.462,0.472,0.27,0.1996
bi_bikol_tagalog,bikol_test,trad_clgsngo,53.3333,0.547,0.533,0.256,0.2746
bi_bikol_tagalog,cebuano_test,trad_clgsngo,42.8571,0.501,0.429,0.271,0.15
bi_bikol_tagalog,tagalog_test,mbert,49.0566,0.493,0.491,0.27,0.2277
bi_bikol_tagalog,bikol_test,mbert,63.3333,0.69,0.633,0.172,0.4301
bi_bikol_tagalog,cebuano_test,mbert,40.0,0.448,0.4,0.295,0.1064
bi_bikol_tagalog,tagalog_test,all,49.0566,0.493,0.491,0.27,0.2277
bi_bikol_tagalog,bikol_test,all,66.6667,0.681,0.667,0.175,0.4681
bi_bikol_tagalog,cebuano_test,all,41.4286,0.439,0.414,0.288,0.1392
bi_bikol_tagalog,tagalog_test,xlmr,47.1698,0.458,0.472,0.27,0.2043
bi_bikol_tagalog,bikol_test,xlmr,53.3333,0.521,0.533,0.259,0.2432
bi_bikol_tagalog,cebuano_test,xlmr,47.1429,0.474,0.471,0.261,0.2075
bi_bikol_tagalog,tagalog_test,all_xlmr,43.3962,0.429,0.434,0.296,0.1433
bi_bikol_tagalog,bikol_test,all_xlmr,66.6667,0.599,0.667,0.197,0.4413
bi_bikol_tagalog,cebuano_test,all_xlmr,50.0,0.477,0.5,0.259,0.2405
bi_cebuano_bikol,tagalog_test,trad,41.5094,0.349,0.415,0.318,0.0923
bi_cebuano_bikol,bikol_test,trad,56.6667,0.567,0.567,0.272,0.2973
bi_cebuano_bikol,cebuano_test,trad,68.5714,0.708,0.686,0.177,0.5096
bi_cebuano_bikol,tagalog_test,trad_clgsngo,52.8302,0.501,0.528,0.249,0.2764
bi_cebuano_bikol,bikol_test,trad_clgsngo,60.0,0.651,0.6,0.25,0.3583
bi_cebuano_bikol,cebuano_test,trad_clgsngo,80.0,0.802,0.8,0.133,0.6774
bi_cebuano_bikol,tagalog_test,mbert,49.0566,0.497,0.491,0.289,0.209
bi_cebuano_bikol,bikol_test,mbert,60.0,0.598,0.6,0.223,0.3514
bi_cebuano_bikol,cebuano_test,mbert,71.4286,0.738,0.714,0.138,0.5592
bi_cebuano_bikol,tagalog_test,all,54.717,0.559,0.547,0.255,0.2972
bi_cebuano_bikol,bikol_test,all,63.3333,0.631,0.633,0.226,0.4022
bi_cebuano_bikol,cebuano_test,all,71.4286,0.726,0.714,0.157,0.5527
bi_cebuano_bikol,tagalog_test,xlmr,54.717,0.556,0.547,0.252,0.2949
bi_cebuano_bikol,bikol_test,xlmr,70.0,0.7,0.7,0.165,0.5161
bi_cebuano_bikol,cebuano_test,xlmr,71.4286,0.733,0.714,0.149,0.5572
bi_cebuano_bikol,tagalog_test,all_xlmr,52.8302,0.548,0.528,0.269,0.2631
bi_cebuano_bikol,bikol_test,all_xlmr,66.6667,0.653,0.667,0.185,0.4565
bi_cebuano_bikol,cebuano_test,all_xlmr,77.1429,0.788,0.771,0.12,0.6438
bi_tagalog_cebuano,tagalog_test,trad,54.717,0.508,0.547,0.235,0.3019
bi_tagalog_cebuano,bikol_test,trad,40.0,0.551,0.4,0.244,0.1346
bi_tagalog_cebuano,cebuano_test,trad,74.2857,0.751,0.743,0.136,0.598
bi_tagalog_cebuano,tagalog_test,trad_clgsngo,39.6226,0.392,0.396,0.309,0.0813
bi_tagalog_cebuano,bikol_test,trad_clgsngo,60.0,0.0,0.6,0.271,0.322
bi_tagalog_cebuano,cebuano_test,trad_clgsngo,67.1429,0.666,0.671,0.213,0.4739
bi_tagalog_cebuano,tagalog_test,mbert,54.717,0.559,0.547,0.24,0.3091
bi_tagalog_cebuano,bikol_test,mbert,36.6667,0.437,0.367,0.309,0.064
bi_tagalog_cebuano,cebuano_test,mbert,65.7143,0.665,0.657,0.164,0.4622
bi_tagalog_cebuano,tagalog_test,all,52.8302,0.53,0.528,0.242,0.2842
bi_tagalog_cebuano,bikol_test,all,50.0,0.531,0.5,0.273,0.2147
bi_tagalog_cebuano,cebuano_test,all,71.4286,0.713,0.714,0.152,0.5504
bi_tagalog_cebuano,tagalog_test,xlmr,56.6038,0.56,0.566,0.229,0.3353
bi_tagalog_cebuano,bikol_test,xlmr,46.6667,0.671,0.467,0.233,0.2079
bi_tagalog_cebuano,cebuano_test,xlmr,68.5714,0.709,0.686,0.148,0.5163
bi_tagalog_cebuano,tagalog_test,all_xlmr,49.0566,0.484,0.491,0.266,0.2223
bi_tagalog_cebuano,bikol_test,all_xlmr,40.0,0.672,0.4,0.208,0.1628
bi_tagalog_cebuano,cebuano_test,all_xlmr,71.4286,0.745,0.714,0.141,0.5586
all_languages,tagalog_test,trad,50.9434,0.51,0.509,0.261,0.2449
all_languages,bikol_test,trad,43.3333,0.473,0.433,0.276,0.1626
all_languages,cebuano_test,trad,70.0,0.746,0.7,0.137,0.5457
all_languages,tagalog_test,trad_clgsngo,49.0566,0.427,0.491,0.277,0.2059
all_languages,bikol_test,trad_clgsngo,53.3333,0.573,0.533,0.234,0.2784
all_languages,cebuano_test,trad_clgsngo,72.8571,0.722,0.729,0.157,0.5704
all_languages,tagalog_test,mbert,50.9434,0.512,0.509,0.262,0.2507
all_languages,bikol_test,mbert,66.6667,0.681,0.667,0.175,0.4681
all_languages,cebuano_test,mbert,74.2857,0.751,0.743,0.136,0.598
all_languages,tagalog_test,all,49.0566,0.492,0.491,0.277,0.2193
all_languages,bikol_test,all,63.3333,0.674,0.633,0.169,0.4301
all_languages,cebuano_test,all,72.8571,0.754,0.729,0.144,0.5783
all_languages,tagalog_test,xlmr,49.0566,0.489,0.491,0.264,0.2261
all_languages,bikol_test,xlmr,66.6667,0.651,0.667,0.22,0.4413
all_languages,cebuano_test,xlmr,68.5714,0.685,0.686,0.183,0.5042
all_languages,tagalog_test,all_xlmr,47.1698,0.456,0.472,0.275,0.1904
all_languages,bikol_test,all_xlmr,63.3333,0.619,0.633,0.224,0.3956
all_languages,cebuano_test,all_xlmr,75.7143,0.754,0.757,0.139,0.6129
