fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col
0,mono_tagalog,tagalog_test,mbert,52.8302,0.527,0.528,0.242,0.2869,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
0,mono_cebuano,tagalog_test,xlmr,47.1698,0.471,0.472,0.28,0.1944,CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
0,mono_cebuano,bikol_test,xlmr,60.0,0.736,0.6,0.128,0.4231,CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
0,mono_cebuano,cebuano_test,xlmr,80.0,0.794,0.8,0.13,0.6791,CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
0,mono_cebuano,tagalog_test,all_xlmr,50.9434,0.516,0.509,0.262,0.2503,CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
0,mono_cebuano,bikol_test,all_xlmr,66.6667,0.787,0.667,0.102,0.5098,CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
0,mono_cebuano,cebuano_test,all_xlmr,80.0,0.794,0.8,0.13,0.6791,CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
0,bi_bikol_tagalog,tagalog_test,mbert,56.6038,0.573,0.566,0.23,0.3397,TGL+BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
0,bi_bikol_tagalog,bikol_test,mbert,83.3333,0.838,0.833,0.094,0.7297,TGL+BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
0,bi_bikol_tagalog,cebuano_test,mbert,47.1429,0.442,0.471,0.315,0.1569,TGL+BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
0,bi_bikol_tagalog,tagalog_test,all,54.717,0.547,0.547,0.238,0.3109,TGL+BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,bi_bikol_tagalog,bikol_test,all,86.6667,0.87,0.867,0.074,0.7861,TGL+BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,bi_bikol_tagalog,cebuano_test,all,50.0,0.498,0.5,0.317,0.1935,TGL+BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
0,bi_bikol_tagalog,tagalog_test,xlmr,54.717,0.541,0.547,0.238,0.3094,TGL+BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
0,bi_bikol_tagalog,bikol_test,xlmr,70.0,0.669,0.7,0.153,0.5135,TGL+BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
0,bi_bikol_tagalog,cebuano_test,xlmr,57.1429,0.525,0.571,0.207,0.3405,TGL+BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
0,bi_bikol_tagalog,tagalog_test,all_xlmr,54.717,0.542,0.547,0.234,0.3124,TGL+BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
0,bi_bikol_tagalog,bikol_test,all_xlmr,76.6667,0.747,0.767,0.117,0.6216,TGL+BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
0,bi_bikol_tagalog,cebuano_test,all_xlmr,60.0,0.55,0.6,0.197,0.3782,TGL+BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
0,bi_cebuano_bikol,tagalog_test,mbert,58.4906,0.628,0.585,0.216,0.3724,BCL+CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
0,bi_cebuano_bikol,bikol_test,mbert,93.3333,0.938,0.933,0.048,0.8895,BCL+CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
0,bi_cebuano_bikol,cebuano_test,mbert,77.1429,0.771,0.771,0.112,0.6396,BCL+CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
0,bi_cebuano_bikol,tagalog_test,all,54.717,0.592,0.547,0.238,0.3139,BCL+CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,bi_cebuano_bikol,bikol_test,all,93.3333,0.938,0.933,0.048,0.8895,BCL+CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,bi_cebuano_bikol,cebuano_test,all,78.5714,0.782,0.786,0.116,0.6586,BCL+CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
0,bi_cebuano_bikol,tagalog_test,xlmr,47.1698,0.559,0.472,0.267,0.2064,BCL+CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
0,bi_cebuano_bikol,bikol_test,xlmr,90.0,0.911,0.9,0.078,0.8315,BCL+CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
0,bi_cebuano_bikol,cebuano_test,xlmr,78.5714,0.778,0.786,0.134,0.6566,BCL+CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
0,bi_cebuano_bikol,tagalog_test,all_xlmr,50.9434,0.537,0.509,0.246,0.2662,BCL+CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
0,bi_cebuano_bikol,bikol_test,all_xlmr,90.0,0.911,0.9,0.078,0.8315,BCL+CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
0,bi_cebuano_bikol,cebuano_test,all_xlmr,80.0,0.795,0.8,0.121,0.681,BCL+CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
0,bi_tagalog_cebuano,tagalog_test,mbert,56.6038,0.556,0.566,0.227,0.3382,CEB+TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
0,bi_tagalog_cebuano,bikol_test,mbert,73.3333,0.783,0.733,0.111,0.5855,CEB+TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
0,bi_tagalog_cebuano,cebuano_test,mbert,84.2857,0.846,0.843,0.083,0.7532,CEB+TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
0,bi_tagalog_cebuano,tagalog_test,all,58.4906,0.573,0.585,0.216,0.367,CEB+TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,bi_tagalog_cebuano,bikol_test,all,73.3333,0.783,0.733,0.111,0.5855,CEB+TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,bi_tagalog_cebuano,cebuano_test,all,84.2857,0.841,0.843,0.1,0.7495,CEB+TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
0,bi_tagalog_cebuano,tagalog_test,xlmr,50.9434,0.506,0.509,0.259,0.2519,CEB+TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
0,bi_tagalog_cebuano,bikol_test,xlmr,63.3333,0.819,0.633,0.099,0.4737,CEB+TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
0,bi_tagalog_cebuano,cebuano_test,xlmr,82.8571,0.832,0.829,0.109,0.7257,CEB+TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
0,bi_tagalog_cebuano,tagalog_test,all_xlmr,49.0566,0.487,0.491,0.266,0.2248,CEB+TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
0,bi_tagalog_cebuano,bikol_test,all_xlmr,60.0,0.796,0.6,0.118,0.4286,CEB+TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
0,bi_tagalog_cebuano,cebuano_test,all_xlmr,80.0,0.809,0.8,0.118,0.6822,CEB+TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
0,all_languages,tagalog_test,mbert,58.4906,0.584,0.585,0.213,0.3724,ALL,TGL,mBERT Embdng,TGL | mBERT Embdng
0,all_languages,bikol_test,mbert,93.3333,0.936,0.933,0.048,0.8907,ALL,BCL,mBERT Embdng,BCL | mBERT Embdng
0,all_languages,cebuano_test,mbert,85.7143,0.858,0.857,0.092,0.7708,ALL,CEB,mBERT Embdng,CEB | mBERT Embdng
0,all_languages,tagalog_test,all,54.717,0.544,0.547,0.234,0.3124,ALL,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,all_languages,bikol_test,all,96.6667,0.969,0.967,0.019,0.9457,ALL,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,all_languages,cebuano_test,all,85.7143,0.858,0.857,0.092,0.7708,ALL,CEB,ALL (mBERT),CEB | ALL (mBERT)
0,all_languages,tagalog_test,xlmr,54.717,0.517,0.547,0.231,0.3094,ALL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
0,all_languages,bikol_test,xlmr,90.0,0.894,0.9,0.055,0.837,ALL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
0,all_languages,cebuano_test,xlmr,82.8571,0.823,0.829,0.112,0.7246,ALL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
0,all_languages,tagalog_test,all_xlmr,58.4906,0.562,0.585,0.213,0.367,ALL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
0,all_languages,bikol_test,all_xlmr,86.6667,0.867,0.867,0.062,0.7861,ALL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
0,all_languages,cebuano_test,all_xlmr,81.4286,0.811,0.814,0.126,0.6999,ALL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
1,mono_tagalog,tagalog_test,mbert,56.6038,0.567,0.566,0.224,0.3453,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
1,mono_tagalog,bikol_test,mbert,40.0,0.411,0.4,0.438,-0.0345,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
1,mono_tagalog,cebuano_test,mbert,45.7143,0.414,0.457,0.375,0.0809,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
1,mono_tagalog,tagalog_test,all,54.717,0.544,0.547,0.228,0.3198,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
1,mono_tagalog,bikol_test,all,40.0,0.374,0.4,0.45,-0.0465,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
1,mono_tagalog,cebuano_test,all,48.5714,0.432,0.486,0.366,0.125,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
1,mono_tagalog,tagalog_test,xlmr,60.3774,0.618,0.604,0.212,0.3958,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
1,mono_tagalog,bikol_test,xlmr,40.0,0.452,0.4,0.345,0.0476,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
1,mono_tagalog,cebuano_test,xlmr,35.7143,0.504,0.357,0.219,0.1082,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
1,mono_tagalog,tagalog_test,all_xlmr,64.1509,0.65,0.642,0.191,0.4557,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
1,mono_tagalog,bikol_test,all_xlmr,40.0,0.458,0.4,0.332,0.0576,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
1,mono_tagalog,cebuano_test,all_xlmr,35.7143,0.502,0.357,0.221,0.1071,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
1,mono_bikol,tagalog_test,mbert,43.3962,0.0,0.434,0.288,0.1461,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
1,mono_bikol,bikol_test,mbert,66.6667,0.664,0.667,0.187,0.4565,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
1,mono_bikol,cebuano_test,mbert,67.1429,0.651,0.671,0.179,0.4732,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
1,mono_bikol,tagalog_test,all,43.3962,0.0,0.434,0.288,0.1461,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
1,mono_bikol,bikol_test,all,70.0,0.687,0.7,0.191,0.5028,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
1,mono_bikol,cebuano_test,all,71.4286,0.699,0.714,0.165,0.5392,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
1,mono_bikol,tagalog_test,xlmr,37.7358,0.0,0.377,0.274,0.0975,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
1,mono_bikol,bikol_test,xlmr,63.3333,0.615,0.633,0.226,0.3956,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
1,mono_bikol,cebuano_test,xlmr,61.4286,0.447,0.614,0.265,0.346,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
1,mono_bikol,tagalog_test,all_xlmr,37.7358,0.0,0.377,0.28,0.0919,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
1,mono_bikol,bikol_test,all_xlmr,66.6667,0.642,0.667,0.207,0.4475,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
1,mono_bikol,cebuano_test,all_xlmr,60.0,0.444,0.6,0.28,0.3209,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
1,mono_cebuano,tagalog_test,mbert,30.1887,0.303,0.302,0.375,-0.0669,CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
1,mono_cebuano,bikol_test,mbert,33.3333,0.705,0.333,0.184,0.1071,CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
1,mono_cebuano,cebuano_test,mbert,67.1429,0.692,0.671,0.151,0.4928,CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
1,mono_cebuano,tagalog_test,all,28.3019,0.289,0.283,0.385,-0.0958,CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
1,mono_cebuano,bikol_test,all,36.6667,0.714,0.367,0.177,0.1518,CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
1,mono_cebuano,cebuano_test,all,67.1429,0.692,0.671,0.151,0.4928,CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
1,mono_cebuano,tagalog_test,xlmr,35.8491,0.383,0.358,0.34,0.0217,CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
1,mono_cebuano,bikol_test,xlmr,46.6667,0.796,0.467,0.132,0.292,CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
1,mono_cebuano,cebuano_test,xlmr,67.1429,0.678,0.671,0.157,0.486,CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
1,mono_cebuano,tagalog_test,all_xlmr,37.7358,0.373,0.377,0.326,0.0546,CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
1,mono_cebuano,bikol_test,all_xlmr,43.3333,0.821,0.433,0.126,0.2609,CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
1,mono_cebuano,cebuano_test,all_xlmr,65.7143,0.672,0.657,0.161,0.4697,CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
1,bi_bikol_tagalog,tagalog_test,mbert,62.2642,0.627,0.623,0.198,0.4283,TGL+BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
1,bi_bikol_tagalog,bikol_test,mbert,56.6667,0.55,0.567,0.295,0.2737,TGL+BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
1,bi_bikol_tagalog,cebuano_test,mbert,50.0,0.564,0.5,0.214,0.2503,TGL+BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
1,bi_bikol_tagalog,tagalog_test,all,58.4906,0.589,0.585,0.22,0.3711,TGL+BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
1,bi_bikol_tagalog,bikol_test,all,63.3333,0.619,0.633,0.259,0.3785,TGL+BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
1,bi_bikol_tagalog,cebuano_test,all,52.8571,0.576,0.529,0.202,0.2839,TGL+BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
1,bi_bikol_tagalog,tagalog_test,xlmr,62.2642,0.637,0.623,0.198,0.4283,TGL+BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
1,bi_bikol_tagalog,bikol_test,xlmr,60.0,0.586,0.6,0.243,0.3443,TGL+BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
1,bi_bikol_tagalog,cebuano_test,xlmr,57.1429,0.541,0.571,0.223,0.323,TGL+BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
1,bi_bikol_tagalog,tagalog_test,all_xlmr,67.9245,0.689,0.679,0.167,0.5151,TGL+BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
1,bi_bikol_tagalog,bikol_test,all_xlmr,66.6667,0.651,0.667,0.195,0.4536,TGL+BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
1,bi_bikol_tagalog,cebuano_test,all_xlmr,61.4286,0.599,0.614,0.219,0.3754,TGL+BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
1,bi_cebuano_bikol,tagalog_test,mbert,41.5094,0.27,0.415,0.305,0.1119,BCL+CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
1,bi_cebuano_bikol,bikol_test,mbert,60.0,0.577,0.6,0.221,0.3514,BCL+CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
1,bi_cebuano_bikol,cebuano_test,mbert,77.1429,0.779,0.771,0.104,0.6424,BCL+CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
1,bi_cebuano_bikol,tagalog_test,all,45.283,0.513,0.453,0.281,0.171,BCL+CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
1,bi_cebuano_bikol,bikol_test,all,63.3333,0.631,0.633,0.201,0.4118,BCL+CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
1,bi_cebuano_bikol,cebuano_test,all,77.1429,0.779,0.771,0.104,0.6424,BCL+CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
1,bi_cebuano_bikol,tagalog_test,xlmr,50.9434,0.587,0.509,0.249,0.2583,BCL+CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
1,bi_cebuano_bikol,bikol_test,xlmr,66.6667,0.681,0.667,0.172,0.4737,BCL+CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
1,bi_cebuano_bikol,cebuano_test,xlmr,61.4286,0.6,0.614,0.212,0.3876,BCL+CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
1,bi_cebuano_bikol,tagalog_test,all_xlmr,45.283,0.465,0.453,0.281,0.1728,BCL+CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
1,bi_cebuano_bikol,bikol_test,all_xlmr,70.0,0.701,0.7,0.165,0.5187,BCL+CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
1,bi_cebuano_bikol,cebuano_test,all_xlmr,67.1429,0.666,0.671,0.174,0.4813,BCL+CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
1,bi_tagalog_cebuano,tagalog_test,mbert,49.0566,0.492,0.491,0.263,0.2331,CEB+TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
1,bi_tagalog_cebuano,bikol_test,mbert,40.0,0.548,0.4,0.19,0.1818,CEB+TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
1,bi_tagalog_cebuano,cebuano_test,mbert,65.7143,0.671,0.657,0.175,0.4633,CEB+TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
1,bi_tagalog_cebuano,tagalog_test,all,49.0566,0.491,0.491,0.26,0.2348,CEB+TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
1,bi_tagalog_cebuano,bikol_test,all,43.3333,0.549,0.433,0.209,0.2019,CEB+TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
1,bi_tagalog_cebuano,cebuano_test,all,67.1429,0.687,0.671,0.158,0.4899,CEB+TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
1,bi_tagalog_cebuano,tagalog_test,xlmr,54.717,0.546,0.547,0.228,0.3198,CEB+TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
1,bi_tagalog_cebuano,bikol_test,xlmr,53.3333,0.762,0.533,0.156,0.3458,CEB+TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
1,bi_tagalog_cebuano,cebuano_test,xlmr,64.2857,0.683,0.643,0.164,0.4545,CEB+TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
1,bi_tagalog_cebuano,tagalog_test,all_xlmr,58.4906,0.587,0.585,0.207,0.3765,CEB+TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
1,bi_tagalog_cebuano,bikol_test,all_xlmr,53.3333,0.762,0.533,0.156,0.3458,CEB+TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
1,bi_tagalog_cebuano,cebuano_test,all_xlmr,62.8571,0.657,0.629,0.176,0.4277,CEB+TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
1,all_languages,tagalog_test,mbert,45.283,0.453,0.453,0.284,0.1763,ALL,TGL,mBERT Embdng,TGL | mBERT Embdng
1,all_languages,bikol_test,mbert,53.3333,0.524,0.533,0.301,0.2308,ALL,BCL,mBERT Embdng,BCL | mBERT Embdng
1,all_languages,cebuano_test,mbert,68.5714,0.704,0.686,0.143,0.5127,ALL,CEB,mBERT Embdng,CEB | mBERT Embdng
1,all_languages,tagalog_test,all,52.8302,0.53,0.528,0.245,0.2869,ALL,TGL,ALL (mBERT),TGL | ALL (mBERT)
1,all_languages,bikol_test,all,60.0,0.603,0.6,0.253,0.3514,ALL,BCL,ALL (mBERT),BCL | ALL (mBERT)
1,all_languages,cebuano_test,all,72.8571,0.746,0.729,0.125,0.5764,ALL,CEB,ALL (mBERT),CEB | ALL (mBERT)
1,all_languages,tagalog_test,xlmr,50.9434,0.512,0.509,0.256,0.2567,ALL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
1,all_languages,bikol_test,xlmr,66.6667,0.714,0.667,0.15,0.4949,ALL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
1,all_languages,cebuano_test,xlmr,67.1429,0.662,0.671,0.173,0.4796,ALL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
1,all_languages,tagalog_test,all_xlmr,54.717,0.547,0.547,0.231,0.3169,ALL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
1,all_languages,bikol_test,all_xlmr,60.0,0.646,0.6,0.195,0.3814,ALL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
1,all_languages,cebuano_test,all_xlmr,65.7143,0.64,0.657,0.186,0.4545,ALL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
2,mono_tagalog,tagalog_test,mbert,62.2642,0.625,0.623,0.19,0.4295,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
2,mono_tagalog,bikol_test,mbert,50.0,0.5,0.5,0.373,0.1477,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
2,mono_tagalog,cebuano_test,mbert,55.7143,0.52,0.557,0.334,0.2413,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
2,mono_tagalog,tagalog_test,all,67.9245,0.679,0.679,0.167,0.5117,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
2,mono_tagalog,bikol_test,all,50.0,0.5,0.5,0.363,0.1573,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
2,mono_tagalog,cebuano_test,all,54.2857,0.507,0.543,0.313,0.2389,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
2,mono_tagalog,tagalog_test,xlmr,58.4906,0.597,0.585,0.202,0.3808,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
2,mono_tagalog,bikol_test,xlmr,43.3333,0.398,0.433,0.342,0.086,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
2,mono_tagalog,cebuano_test,xlmr,55.7143,0.499,0.557,0.228,0.3078,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
2,mono_tagalog,tagalog_test,all_xlmr,62.2642,0.638,0.623,0.184,0.4371,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
