language|level|flag|title|text
cebuano|1|pub_marker_in_body|Ang Mananagat|Si Andoy usa ka mananagat. Kada adlaw siya muado sa dagat. Dala niya kanunay ang pasol. Dala usab niya ang taga. Klase-klase nga isada ang iyang makuha. Adunay dagko ug gagmay. Usahay ang mga isda iyang ibaligya. Ang uban usab ilang isud-an. Ang iyang pamilya nalipay. Malipayon sila sa ilang panimalay. Ang Mananagat Level , Grade may adapt and add to this work. You must keep the an official an adaptation of this work, please add the following disclaimer along with the attribution: This is an adaptation of an original work by sa libro: Isturya sa mananagat nga muadto og dagat. Mga letra nga gigamit: m, a, t, k,s, y, o, -, n, ay, p, g, i, d, l, u, b, h, w, r, e, ng, pr, gr, tr, kw, ñ, c, j, f, q, v, x, z Mga sige ug gamit ng pulong: ang, adlaw, makuha, ,nga, gagmay, dagko Mga bag-ong pulong nga makat-unan: ibaligya, isda, dagat, pasol, taga
cebuano|1|residual_prefix|Ang Mangga ni Manang Mina|Nagpuyo siya sa Baranggay Maga Gipalitan niya og computer ang iyang anak. Nalipay kaayo siya. Nagtanom siya og mga mangga. Bisbis matag buntag. Dako ang nakwarta ni Manang Mina. Daghan kaayo kini og bunga. Paasuhan matag hapon. Abuno sa mga punuan. Namulak og daghan ang mga mangga.
cebuano|1|residual_prefix|Ang Mata ni Matmat|Ang mata. Kang Matmat. Mata ni Matmat. Ang mata ni matmat.
cebuano|1|residual_prefix|Ang Pati ni Pipo|Adunay langgam nga pati si Pipo. Puti ang kolor sa pati ni Pipo. Hinatag ni Lolo Pilo ang pati. Apan naguol ang pati sulod sa hawla. Usa ka adlaw giablihan ni Pipo ang hawla. Milupad ang pati ug naguol si Pipo. Miadto si Pipo sa balay sa iyang Lolo. Nakit-an niya ang pati didto sa sanga sa kahoy atbang sa balay ni Lolo Pilo. Ug malipayon na ang pati.
cebuano|1|residual_prefix|Ang Payag ni Tatay|Si tatay gatukod ug payag. Limpyo ug hapsay ang payag ni tatay. Gamay ug hayahay ang payag ni tatay. Daghang mga kahoy sa palibot sa payag ni tatay. Kon muolan pwede kini mapasilongan.
cebuano|1|pub_marker_in_body|Ang Relo ni Jelo|Si Jelo adunay relo. Dako ang iyang relo. Itom ang relo. Gebutang sa kwarto ang relo. Gikuha ni Toto ang relo. Nasuko si Jelo ni Toto. Gibawi ni Jelo ang relo. Nangayo ug pasaylo si Toto. Mananghid na si Toto sunod. Ang Relo ni Jelo Stage ( ) may adapt and add to this work. You must keep the an official an adaptation of this work, please add the following disclaimer along with the attribution: This is an adaptation of an original work by sa libro: Ang pagkasuko ni Jojo ni Toto tungod sa relo Ang mga letra nga gigamit: m, a, t, k,s, y, o, -, n, ay, p, g, i, d, l, u, b, h, w, r, e, ng, pr, gr, tr, kw, ñ, c, j, f, q, v, x, z Mga sige ug gamit nga mga Pulong: Si, ang, sa, ni, og, na Mga bag-ong pulong nga makat-unan: Jelo, adunay, relo, dako, itom, gebutang, kwarto, gikuha, Toto, nasuko, gibawi, nangayo, pasaylo, mananghid, sunod
cebuano|1|residual_prefix|Ang Sapatos|Adunay sapatos si Ana. Pula ang iyang sapatos. Hinatag kini sa iyang Papa. Gisulod ni Ana ang sapatos sa kahon. Ug unya, may ilaga nga misulod sa kahon. Gikitkit sa ilaga ang pula nga sapatos. Naguba ang sapatos ni Ana. Naguol kaayo si Ana. Gi-am-aman siya sa iyang Papa. Pagkasunod adlaw, gipalitan siya og bag-ong sapatos sa iyang Papa. Nalipay kaayo si Ana.
cebuano|1|residual_prefix|Ang Sorpresa|Sabado sayo nimata si Zia. Nahibong siya kay mingaw ang balay. Nigawas siya sa ilang balay. Ihilak ug gitawag si mama Racquel. Paggawas niya, gikantahan siya. Nigakos niya ang iyang mama. Iyang adlaw'ng natawhan karong adlawa. Gihatagan siya og kahon nga nindot. Pag-abli niya, nalipay kaayo siya. Ang manika'ng gusto niya ang sorpresa.
cebuano|1|residual_prefix|Ang Tabanog|Pula nga tabanog. Binuhat ni manong. Gama sa kawayan. Gi putos ug papel. Gihigotan ug pisi. Para naa do duwaan karong bakasyon. Aduna na akoy duwaan nga tabanog. Lipay kaayo sa tabanog hinimo ni manong. Nalingaw ko duwa sa tabanog.
cebuano|1|residual_prefix|Ang Tam-is nga Mansanas|Nagsugod sa pagkolor si Rajani. "Di ba dalag ang adlaw, Langga?" pangutana sa iyang mama. "Apan mao kini ang adlaw sayo sa buntag, Ma," tubag ni Rajani. Gikoloran ni Rajani ug brown ang dahon. "Dili ba berde ang kolor sa dahon, Langga? " pangutana sa iyang mama. "Apan laya nga dahon kini, Ma." "Tan-awa, Ma! Nagpintal ko og usa ka matahum nga bulak." "Pula ang among mga bulak, Langga," ingon sa iyang mama. "Apan dalag ang mga bulak sa akong eskuylahan, Ma." Nagpintal si Rajani sa usa ka abohon nga langit. "Dili ba asul ang langit, Langga?" pangutana sa iyang mama. "Ang langit ngitngit sa gabii, Ma." Nagpintal og mansanas si Rajani. "Dili ba pula kana?" pangutana sa iyang mama. "Hilaw nga mansanas kini, Ma." "Kadaghanan sa mga berde nga mansanas aslom, Langga," ingon sa iyang mama. "Ayaw og kabalaka, Ma. Ania ang tam-is nga mansanas para nimo." ingon ni Rajani.
cebuano|1|residual_prefix|Barangay Ko Ampingan Ko|Masagana usa ka talagsaon nga lugar. Ang matag pamilya nagpuyo sa nindot nga balay. Mas nindot nga tan-awon ang ilang limpiyo nga palibot. Kanindot usab sa ilang plasa nga gitabangan sa pag-atiman sa tanan. Ang mga buotan nga kabataan mitabang sa pag tanom sa mga tanaman. Gitabangan sila sa ilang mas buotan nga mga ginikanan. Nahimo kining malampuson tungod sa ilang kapitan nga labing buotan sa tanan. Angay ba silang sundon sa tanan?
cebuano|1|residual_prefix|Dagan|Dagan sa dagat. Dagan sa dalan. Dagan dagan kita tanan.
cebuano|1|pub_marker_in_body|Gaihap ug Iring|Sugilanon sa libro: Isturya sa Iring. Mga gigamit nga letra: m, a, t, k,s, y, o, -, n, ay, p, g, i, d, l, u, b, h, Mga sige ug gamit nga pulong: pila, ka, iring Mga bag-ong pulong nga makat-unan: usa, duha, tulo, upat, lima, unom, pito, walo, nuwebe Gaihap ug Iring Level , Grade Math Cebu City, Cebu, Philippines may adapt and add to this work. You must keep the an official an adaptation of this work, please add the following disclaimer along with the attribution: This is an adaptation of an original work by ka iring? Isa ka iring. Pila ka iring? Duha ka iring. Pila ka iring? Tulo ka iring. Pila ka iring? Upat ka iring. Pila ka iring? Lima ka iring. Pila ka iring? Unom ka iring. Pila ka iring? Pito ka iring. Pila ka iring? Walo ka iring. Unsa ni akong nakit an? Iring naa sa kahoy. "Mama, pwede nato hipuson? Isa na lang" Pila ka iring? Nuwebe ka iring?
cebuano|1|residual_prefix|Kaka|Mama,ang mata sa kaka.
cebuano|1|residual_prefix|Kari na ug mulupad!|Ang langgam makalupad. Ang periko makalupad. Ang kabayo dili makalupad. Ang langaw makalupad. Ang gangis makalupad Dili ka lupad ang tiki. Makalupad ang bahaw. Makalupad ang Pelikano. Dili makalupad ang Gibbon. Makalupad ang Egret. Makalupad ang Hornbill. Dili makalupad ang liyon. Makalupad ang Tawny owl. Makalupad ang lamok. Dili maka lupad ang tupa. Sa umaabot nga adlaw tanan ta makalupad. Gusto man sad nako mulupad.
cebuano|1|residual_prefix|Katkat Ta|Katkat ta sa kama. Mata ka Mama!
cebuano|1|residual_prefix|Mama sa Kama|Ang kama. Mama sa kama.
cebuano|1|residual_prefix|Mama|Ang mata ni mama. Ang mama sa kama.
cebuano|1|no_opener|Mga Pangalan sa Bata|Tam Maka Matmat Mata Tamtam Tama Katkat Taka Kamkam Makat Mat Kama
cebuano|1|residual_prefix|Pagluto|Gipanitan ko ang mga patatas. Gihiwa nako ang repolyo. Akong gibanggod ang karots. Akong gihugasan ang mga beans. Gihiwa nako ang kalabasa. Gihiwa nako ang spinach. Akong mama naghiwa sa mga sibuyas. Ang mga sibuyas nakapahilak kanako sa dihang kini gihiwa.
cebuano|1|duplicate|Si Balaraw|Angay nga Mahibaloan Makahibalo nga ang mga lumulupyo sa usa ka dapit adunay mga katungdanan. Maikinabuhi ang pagkabililhon sa pagmahal sa kaugalingong nasod o dapit. Maila ug mahatagan ug bili ang nahimo sa mga lider sa matag dapit. Sa mga tribu sa munisipyo sa Hinatuan, Bislig, Tagbina, Barobo ug Lingig sa Probinsya sa Surigao del Sur hangtod sa Probinsya sa Agusan del Sur, may giila nga usa ka lider. Siya si Fernando Nazareno nga mas nailhan sa tawag nga Balaraw. Kugihan ug determinadong magtrabaho si Balaraw. Sa iyang pakigbisog, iyang nahiusa ang mga magkaaway nga mga tribu ug mao nga namugna ang mga barangay ug mga munisipyo sa maong dapit. Gibantug siya nga adunay kahibulungang gahum sa mahika. Ang mga hayop nga galibot sa iyang balay malipayon ug maabtikong magtapok kung makabati na sa tingog sa iyang tambol. Si Balaraw hanas usab sa eskrima. Usa kini ka pamaagi sa pagdepensa sa iyang kaugalingon batok sa mga bandido ginamit ang mga kamot ug duha ka kahoy. Si Balaraw nahimong kabahin sa pagmugna sa lungsod sa Hinatuan ug sa pagpalambo niini. Iyang gitukod ang munisipyo ug ang simbahan nga nagbarog pa hangtod karon ug puno kini sa katahum ug kalig-on. Nagtukod usab siya ug mga tindahan sa mga Lungsod sa Barobo, Malixi, Marikangkang, Rosario ug Bahi. Sa iyang mga binuhatan, angayan gayod handumon ug pasalamatan si Balaraw.
cebuano|1|residual_prefix|Si kokoy ug Si Kakay|Si Kokoy buotang anak nila ni Karding ug Konsing. Nagpuyo sila kilid sa lamakan. Adunay duha ka igsoon si Kokoy nga nagtungha sa Gomentoc Elementary School. Usa ka adlaw niana, gipangita si Kokoy sa iyang Mama. Nakitan siya nga nagpatuktok sa mga manok. Paghuman niya'g patuktok sa mga manok, naglung-ag si Kokoy. Human maluto ang iyang gilung-ag, giandam niya ang lamesa ug gitawag ang iyang Mama, Papa ug mga igsoon. Nag-ampo sila ug nagpasalamat sa Ginoo. Malipayong nangaon ang tibuok banay.
cebuano|1|duplicate|Si kokoy|Si Kokoy buotang anak nila ni Karding ug Konsing. Nagpuyo sila kilid sa lamakan. Adunay duha ka igsoon si Kokoy nga nagtungha sa Gomentoc Elementary School. Usa ka adlaw niana, gipangita si Kokoy sa iyang Mama. Nakitan siya nga nagpatuktok sa mga manok. Paghuman niya'g patuktok sa mga manok, naglung-ag si Kokoy. Human maluto ang iyang gilung-ag, giandam niya ang lamesa ug gitawag ang iyang Mama, Papa ug mga igsoon. Nag-ampo sila ug nagpasalamat sa Ginoo. Malipayong nangaon ang tibuok banay.
cebuano|1|residual_prefix|Si Lando|Nagpuyo si Lando sa daplin sa sapa. Nagbuhi siya og walo ka itik. Iya kining gipakaon matag adlaw. Dagko na ang iyang mga itik. Iya dayon kining gibaligya sa taboan. Aduna na siyay kuarta. Makapalit na siya og bag-ong sapatos ug sinina. Malipayon kaayo si Lando.
cebuano|1|title_repeat|Si Navy ug si Bora|Si Bora kay makasulat. Si Navy kay makasulat usab. Giganahan og isports si Navy. Mao usab si Bora. Si Bora kamao mo drowing. Si Navy kamao sab mo drowing. Si Navy kamao mobasa. Si Bora kamao sab. Aduna sila'y giangkon nga abilidad.
cebuano|1|residual_prefix|Si Osta|Mata ni Osta. Kamot ni Osta. Si Osta nag mata. Sayo nakamata si Osta. Nagmaya si Osta.
cebuano|1|duplicate|Si Susan|Si Susan ug Siya si Susan, usa ka gamay nga batang babaye. Maanyag ug kulot ang iyang buhok. Gusto kaayo siya nga mokaon og mga utanon ug prutas. Mao nga siya usa ka himsog ug abtik siya nga pagkabata. Si Susan gusto usab nga makighigala sa uban nga mga bata. Mao nga daghan siya ug mga higala. Kada adlaw kuyog niya ang iyang mga higala sa pagdula. Mao nga malipayon siya nga pagkabata. Pinangga usab siya sa iyang mga ginikanan.
cebuano|1|residual_prefix|Suroy-Suroy sa Tamnanan|Mao ni si Sophea, ang lalaki nga anak. Mao ni si Sopha, ang iyang inahan. Galakaw sila sa tamnanan. Nakita ba ni Sophea ang kahoy nga Champei? Nakita ni Sophea ang kahoy nga Champei. Giihap ni Sophea ug iyahang inahan ang kahoy nga Champei: usa, duwa. Nakita ba ni Sophea ang mga langgam? Nakita ni Sophea ang mga langgam. Giihap ni Sophea ug sa iyang inahan ang mga langgam: usa, duha, tulo. Nakita ba ni Sophea ang mga alibangbang? Nakita ni Sophea ang mga alibangbang. Giihap ni Sophea ug sa iyang inahan ang mga alibangbang: usa, duha, tulo, upat. Nakita ba ni Sophea ang bag na plastik? Nakita ni Sophea ang bag nga plastik. Giihap ni Sophea ug sa iyang inahan ang bag nga plastik: usa, duha, tulo, upat, lima. Nakita ba ni Sophea ang basurahan? Nakita ni Sophea ang basurahan. Gipunit ni Sophea ang bag nga plastik para ibutang sa basurahan. Si Sophea adunay maayong kasinatian sa paglakaw-lakaw sa tamnanan kauban ang iyang inahan. Nakat-unan niya ang pag-ihap ug nakatabang pa nga magpadayon nga hinlo ang palibot.
cebuano|1|residual_prefix|Tumba Lata|Higala tara! Magdula na kita. Lata kuhaa. Tsinelas andama. Ibato ang tsinelas. Itindog ang lata. Dagan og kusog. Ayaw og padakop. Niabot si Kaloy. Siya ang modakop. Ang nadakpan mopuli. Ang tanan nalingaw.
cebuano|1|residual_prefix|Unsa Nga Kahoy Kini|Adunay kahoy sa among bukid. Motubo kini patag man o bakilid. Taas kini ug lig-on Sa paghimo og balay kini gamiton. Sa haligi man o atop. Daghang mga tawo kaniya modangop. Ang bunga niini labing dalaygon. Sakit sa imong pantog iyang hupayon. Ang iyang dahon gamiton paghimo'g puso. Ang iyang tukog daghang silhig mahimo. Kaila ka ba unsang kahoya kini? Mao kini ang kahoy nga lubi.
cebuano|2|residual_prefix|Ang Adlaw na Niulan og Isda|Si Avanti usa ka tig-atiman sa Pitara Zoo. Daghang mga hayop sa Pitara, apan ang iyang labing suod nga higala mao ang Oso na si Ballu. Si Ballu dako, kolor brown ug kusgan. Sa iyang ikaupat nga adlaw nga natawhan, giandam ni Avanti ang usa ka gamay nga parti alang kay Ballu. Ballu, kaya ba nimo dunganon ug huyop ang mga kandila?" pangutana si Avanti. "Syempre!" tubag ni Ballu. Gipuno niya sa hangin ang iyang dughan. Iyahang gihuyopan ug maayo "WHOOSH!" Ang kusog nga hangin mihuyop sa mga kandila. Ug misaka kini ug nibangga sa mga panganod sa langit. Ug sa kalit lang, adunay makusog nga dalugdog ug ulan nagsugod ug bundak ang ulan Wow, "nag-ulan ug isda," singgit ni Avanti. Si Ballu mitan-aw sa palibot ug nahibulong, mikuha siya usa ka dako nga basket ug nagdagan-dagan siya samtang gipanguha ang mga isda nga gikan sa langit. Kung kanus-a napuno ang basket, gidala niya kini sa gamay nga pangisdaan ug dali nga mobalik aron manguha usab. Pero, sa iyang pagdali nga makabalik sa pangisda, nakita niya nga mingtaas na ang tubig ug si Avanti kay nahadlok nga gayod. Nagdali sila ug pagbalik ug gikarga ni Ballu si Avanti. Gibutang ni Avanti ang iyang mga kamot sa liog ni Ballu, ug mapasalamaton gyud siya kanunay. Dugay-dugay nawala ang panganod ug mingsidlak ang adlaw. Pag-usab, usa ka malipayong adlaw ang misubang . "Dili na taka usab sugoon na huyopan ug dungan ang mga kandlia." ingon ni Avanti. "Ngano man?" Nangutana si Ballu. "Wala ta kabalo, basi sa sunod, mag-ulan na ni ug mga baki?" Ug ang duha nga managhigala nagsugod sa pagkatawa .
cebuano|2|residual_prefix|Ang Akong Eskwelahan|Nagalakaw mi kada adlaw kauban akong higala paingon sa eskwelahan. Halos tanan mga estudyante gusto mo-eskwela diri. Hawod ug maayo magtudlo ang mga maestra ug maestro maong daghan matun an ang mga estudyante. Sobra ang kalipay sa mga ginikanan tungod kay wala nagkulang ug pahimangno ang mga maestra/maestro para sa ikaayo sa ilang mga anak. Malipayon kaayo ang mga bata sa ilang pag-eskwela sa ilahang eskwelahan.
cebuano|2|residual_prefix|Ang Akong Mga Anak|Kami sa akong bana, adunay upat ka anak. Ang among anak tulo ang babaye ug usa ang lalaki. Si Joanessa ang kamagwangan. Ang ikaduha si Arnel, parehas sila enhinyero. Ang ikatulo mao si Loise, nahuman sa kurso nga parmasya. Ug ang kamanghuran si Aljea. Ganahan kaayo siya ug iro. Ug nahuman siya sa kurso nga busines administrasyon. Nakatrabaho na silang upat. Malipayon kami sa akong bana kauban sa among mga anak.
cebuano|2|residual_prefix|Ang Akong Suod Nga Higala|Aduna akoy binuhi nga iro. Usa ka lalaki, nga gipanganlan nako ug Digong. Ganahan siya nga moadto sa gawas aron magdula og bola. Ganahan siya nga makigdula sa ubang mga iro. Sa buntag, iyang bantayan ang among balay samtang kami nagatrabaho. Tungod niana nahimo ko siya na suod nga higala.
cebuano|2|residual_prefix|Ang Among Iring|Tambok kaayo ug limpiyo ang among iring. Naay tulo ka buok mga anak ang among iring. Ang mga pangalan sa iyang mga anak si Snow White, si Snoopy ug si Cha. Pinangga kaayo niya ang iyang mga anak. Iya kining ginapatotoy samtang gagmay pa. Pinangga pud kaayo namo ang among iring kay buotan siya kaayo ug mapinanggaon sa iyang mga anak. Malipayon kaayo ang among mga iring samtang naa sa among panimalay.
cebuano|2|pub_marker_in_body|Ang Dag-om sa Kalangitan|Usa kaadlaw, sulod sa akong kwarto sa tunghaan. Ako nahibulong kung ngano ang palibot hilom kaayo. Nigawas ako ug nitan-aw. Gawas sa kwarto sa unang ang-ang daghang tawo. Sila ang mga ginikanan. Sa ilang bata gaatang. Ako nangutana sa usa kanila. Ngano unsay problema? Mitubag sila. Mam, langit pirteng dag-uma. Kuhaon namo sila. Karong taud-taod basin mubundak na ang kusog na uwan. Ako miingon usab kanila. Bitaw kay basin eskwelahan mubaha nasad. Nihangad ako sa langit. Nakita ko ang bagang dag-om giubanan sa kangit-ngit.Ako sa kwarto nibalik. Mga gamit akong gipangsangit. Kay dag-om akong gikahadlokan kay kini ang timailhan sa kusog na ulan. Na kini ang hinungdan sa baha sa among eskwelahan. Ang Dag-om sa Kalangitan Stage ( ) may adapt and add to this work. You must keep the an official an adaptation of this work, please add the following disclaimer along with the attribution: This is an adaptation of an original work by sa libro: Isturya sa isa ka eskwelahan nga bahaunon. Mga Letra na Gigamit: m, a, t, k,s, y, o, -, n, ay,p, g, i, d, l, u, b, h, w, r, e, ng, pr, gr,tr, kw, ñ, c, j, f, q, v Mga sige ug gamit nga pulong: kaayo, ako, katawa, gawas, adlaw, sulod, kwarto, bata, baha, kuhaon, baha, among Mga bag-ong pulong nga makat-unan: timailhan, hinungdan, dag-om
cebuano|2|residual_prefix|Ang Dako ug Balhibuong Khyaa|Kinsa ang naa dira? Ang dako ug balhibuong si Khyaa! Nganong naa ka diri? Para mamista! Unsa nga pista? Ang Pista sa Lakhamari! Maayo ra? Maayo kaayo Daghan ka og nakaon? Dyutay ra! Dili ko moadto kay mahadlok ko og ngitngit. Ma, mao ba ni ang Khyaa nga akong gikahadlukan? Dili kaha ni manumbag? Dili kaha ni mamira og tiil? Ma, mao ba ni ang Khyaa nga akong gikahadlukan? Kung kini nagatindog sa kangitngit, sakop niini ang yuta ug langit Magtan-aw lang samtang kini gainat, akong ulo gainit! Pero kalit ra sya og kawala kung mogawas na ang kahayag sa langit... Naa rato diri ug karon nawala na! Ma, mao ba ni ang Khyaa nga akong gikahadlukan? Asa na kaha ang balhibuong Khyaa? Dili na siya makita Karong nitungha na ang kahayag. Unsang klase nga Khyaa ang mahadlok og kahayag? Unsa na lang ko, nga usa ra ka paak? Ma, mao ba ni ang Khyaa nga akong gikahadlukan?
cebuano|2|residual_prefix|Ang Inahan|Ang inahan giisip nga suga sa panimalay. Kini si Laling. Adunay siyay mga binuhi nga mga kahayupan sama sa baka, baboy, iro ug manok. Adlaw ug gabi siya gaatiman sa iyang mga kahayupan. Taliwala sa iyang mga ginahimo, wala gihapon siya makalimot pag-atiman sa iyang pamilya.
cebuano|2|title_repeat|Ang Kinabuhi ni Edwards|Adunay usa ka pamilya nga malipayon. Tulo kabook ang mga anak. Sila Edward, Shobe ug Shoti. Si Edward ang kinamagulangan. Mahilig silang magsoon sa dula. Malipayon silang magdula. Mahilig ang pamilya sa suroy. Mahilig mangaon sa gawas nga malipayon. Mahilig usab mosimba ang tiboook pamilya. Malipayon kaayo silang tanan. Tudloan siya'g basa sa iyang Papa. Mahilig siya sa mga numero. Usa ka adlaw nasakit iyang Papa. Gidala sa Tambalanan. Namatay ang Papa ni Edward. Duro ug hilak si Edward. Matulog si Edward nga maghilak. Gadamgo si Edward. Gipukaw ni Mama si Edward. Gigakos ug gihalog si Edward. Gaampo si Edward na makalimot. Dili na mohilak si Edward. Wala nay gana mokaon si Edward. Masulob-on si Edward.
cebuano|2|residual_prefix|Ang Lapis|Ang lapis murag tawo. Lain-lain og klase. Naay lapis nga tambok, anaa usab daot. Adunay natahalan na, ug andam nang mosagubang sa kalisod sa kinabuhi. Apan, adunay uban nga wala pa naandam og nanghinahanglan pa tahalan. Adunay lapis na mubo sama sa tawo na mubo ug pasensya. Apan adunay lapis nga taas sama sa tawong masinabtanon. Tuod man, ang lapis adunay bililhong panagway nga wala ang tawo. Ang tawo, taman ra sa pagmahay. Apang ang lapis ang abilidad nga papason ang mga sayop sa niagi.
