language|level|title|char_start|char_end|words|position|category|removed_text
cebuano|1|Ang Kanta ni Anta|0|97|18|leading|credit|Ang Kanta ni Anta Sinulat ni: Ivy Shanti R. Tangal Gidibuho ni: Justin M. Pono Cebuano Story Book
cebuano|1|Ang Kanta ni Anta|442|451|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang kilay ni Kentoy|0|109|18|leading|credit|Ang kilay ni Kentoy Sinulat ni: Ma. Imee B. Tampus Gidibuho ni: Lemuel D. Lauron Cebuano Personal Development
cebuano|1|Ang kilay ni Kentoy|370|379|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kusog nga Linog|0|69|11|leading|credit|Ang Kusog nga Linog Gisuwat ni: Cecilia Y. Wahing Cebuano Environment
cebuano|1|Ang Kusog nga Linog|537|546|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kwarto Ko|0|67|10|leading|credit|Ang Kwarto Ko Gisuwat ni: Nenita Lopez Cebuano Personal Development
cebuano|1|Ang Kwarto Ko|307|316|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Langaw|0|51|9|leading|credit|Ang Langaw Sinulat ni: Herbert V. Dela Cruz Cebuano
cebuano|1|Ang Langaw|302|311|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Lapis ni Sedes|0|70|12|leading|credit|Ang Lapis ni Sedes Sinulat ni: Monette S. Cansancio Cebuano Story Book
cebuano|1|Ang Lapis ni Sedes|211|220|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Lima ka Baki|0|73|13|leading|credit|Ang Lima ka Baki Sinulat ni: Brezzy Mae A. Navarro Animal Stories Cebuano
cebuano|1|Ang Lima ka Baki|209|218|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Lima ka Managsuon|0|177|26|leading|credit|Ang Lima ka Managsuon Sinulat ni: Willie M. Adonay, Jr. Gidibuho ni: Eric Nacario Tigmantala: Argao Central Elementary School Poblacion, Argao, Cebu Pinulongan: Cebuano Sa Baryo
cebuano|1|Ang Lima ka Managsuon|965|974|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Magtutudlo|0|74|10|leading|credit|Ang Magtutudlo Gisulat ni: Juna J. Presbitero Personal Development Cebuano
cebuano|1|Ang Magtutudlo|207|216|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Mama ni Tata|0|104|18|leading|credit|Ang Mama ni Tata Sinulat ni: Juliet P. Bendanillo Gidibuho ni: Jasper Momo Cebuano Story Book Tata, Tata
cebuano|1|Ang Mama ni Tata|160|169|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Mananagat|0|52|7|leading|genre_tag|Ang Mananagat Level , Grade Cebuano Community Living
cebuano|1|Ang Mananagat|371|396|4|interior|credit|Gisuwat ni: Milagros Meca
cebuano|1|Ang Mananagat|411|565|23|interior|publisher|Community Living Cebuano Copyright © , Enaling Writers Project - University of San Jose - Recoletos You are free to make commercial use of this work. You
cebuano|1|Ang Mananagat|616|859|37|interior|publisher|copyright and credits for authors, illustrators, etc. Translations—If you create a translation of this work, please add the following disclaimer along with the attribution: This translation was not created by USAID and should not be considered
cebuano|1|Ang Mananagat|872|988|19|interior|publisher|USAID translation. USAID shall not be liable for any content or error in this translation. Adaptations—If you create
cebuano|1|Ang Mananagat|1126|1291|27|interior|publisher|USAID. Views and opinions expressed in the adaptation are the sole responsibility of the author or authors of the adaptation and are not endorsed by USAID. Sugilanon
cebuano|1|Ang Mangga ni Manang Mina|0|118|19|leading|credit|Ang Mangga ni Manang Mina Gihuwat ni: Juliet P. Bendanillo Gidibuho ni: Jasper Momo Cebuano Agriculture Si Manang Mina
cebuano|1|Ang Mangga ni Manang Mina|403|412|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Mangga|0|59|10|leading|credit|Ang Mangga Gisulat ni: Rosalie D. Racaza Cebuano Story Book
cebuano|1|Ang Mangga|279|288|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Manok|0|92|15|leading|credit|Ang Manok Sinulat ni: Cecile S. Boyonas Gidibuho ni: Elizar C. Gacang Cebuano Animal Stories
cebuano|1|Ang Manok|174|183|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Mata ni Matmat|0|79|14|leading|credit|Ang Mata ni Matmat Sinulat ni: Herbert V. Dela Cruz Cebuano Science Mata Matmat
cebuano|1|Ang Mata ni Matmat|139|148|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang mata|0|67|12|leading|credit|Ang mata Gihuwat ni: Ma. Imee B. Tampus Dictionary Cebuano Ang Tata
cebuano|1|Ang mata|155|164|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang mga Bata|0|76|11|leading|credit|Ang mga Bata Gisuwat ni: Jovenia Cabriana Tapic Cebuano Personal Development
cebuano|1|Ang mga Bata|223|230|1|interior|credit|Istorya
cebuano|1|Ang mga Bata|293|302|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang mga Isda|0|96|17|leading|credit|Ang mga Isda Sinulat ni: Ivy Shanti R. Tangal Gidibuho ni: Justin M. Pono Cebuano Animal Stories
cebuano|1|Ang mga Isda|260|269|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang mga Prutas|0|66|11|leading|credit|Ang mga Prutas Gisuwat ni: Elvira J. Buot Community Living Cebuano
cebuano|1|Ang mga Prutas|307|316|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Monyeka|0|56|9|leading|credit|Ang Monyeka Gisuwat ni: Milagros Meca Cebuano Story Book
cebuano|1|Ang Monyeka|348|357|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Ok-ok|0|63|11|leading|credit|Ang Ok-ok Gisuwat ni: Juna J. Presbitero Cebuano Animal Stories
cebuano|1|Ang Ok-ok|187|196|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Panimalay|0|72|10|leading|credit|Ang Panimalay Gisuwat ni: Cecilia Y. Wahing Cebuano Personal Development
cebuano|1|Ang Panimalay|450|459|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Pati ni Pipo|0|207|35|leading|credit|Ang Pati ni Pipo Sinulat nila ni: Rosemarie B. Abdon Alejandra D. Bringas Eva A. Tenchavez Ma. Lourdes S. Bejoc Miguela P. Casinto Glicerio L. Camongay Gidibuho ni: Erlinda M. Escoton Petsa sa Pagsulat: Mayo
cebuano|1|Ang Pati ni Pipo|563|572|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Payag ni Tatay|0|125|20|leading|genre_tag|Ang Payag ni Tatay EMILY V GADOR, Santo Tomas Central Elementary School Sped Center, Davao Del Norte Cebuano Community Living
cebuano|1|Ang Payag ni Tatay|311|320|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Plaza|0|57|9|leading|credit|Ang Plaza Gisulat ni: Joan P. Sanchez Environment Cebuano
cebuano|1|Ang Plaza|415|424|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Prutas|0|89|13|leading|credit|Ang Prutas gisuwat ni: Jovenia Cabiana Gidibuho ni: Carlos Isidro Geonzon Culture Cebuano
cebuano|1|Ang Prutas|324|333|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Regalo|0|55|9|leading|credit|Ang Regalo Gisuwat ni: Milagros Meca Cebuano Story Book
cebuano|1|Ang Regalo|323|332|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Relo ni Jelo|0|63|9|leading|publisher|Ang Relo ni Jelo Stage (Decodable) Cebuano Personal Development
cebuano|1|Ang Relo ni Jelo|297|354|10|interior|credit|Gisuwat ni: Herbert V. Dela Cruz Gidibuho ni: Jasper Momo
cebuano|1|Ang Relo ni Jelo|362|532|24|interior|publisher|Decodable) Personal Development Cebuano Copyright © , Enabling Writers Project - University of San Jose - Recoletos You are free to make commercial use of this work. You
cebuano|1|Ang Relo ni Jelo|583|826|37|interior|publisher|copyright and credits for authors, illustrators, etc. Translations-If you create a translation of this work, please add the following disclaimer along with the attribution: This translation was not created by USAID and should not be considered
cebuano|1|Ang Relo ni Jelo|839|955|19|interior|publisher|USAID translation. USAID shall not be liable for any content or error in this translation. Adaptations-If you create
cebuano|1|Ang Relo ni Jelo|1093|1257|27|interior|publisher|USAID. Views and opinions expressed in the adptation are the sole responsibility of the author or authors of the adaptation and are not endorsed by USAID. Sugilanon
cebuano|1|Ang Sakyanan|0|53|8|leading|credit|Ang Sakyanan Gisuwat ni: Neziel Peros Cebuano Science
cebuano|1|Ang Sakyanan|384|393|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Sapatos|0|149|23|leading|credit|Ang Sapatos Sinulat nila ni: Catalina Catherine S. Cabahug, Ed. D. Judith I. Alquirez Marlene D. Dagatan Petsa sa pagsulat: May , Pinulongan: Cebuano
cebuano|1|Ang Sapatos|511|520|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Saya ni Ana|0|66|12|leading|credit|Ang Saya ni Ana Gisuwat ni: Jaypee S. Tillor Level , Grade Cebuano
cebuano|1|Ang Saya ni Ana|416|425|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Saya|0|57|9|leading|credit|Ang Saya Sinuwat ni: Elvira Buot Cebuano Community Living
cebuano|1|Ang Saya|150|159|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Sorpresa|0|76|12|leading|credit|Ang Sorpresa Gisuwat ni: Cecile S. Boyonas Cebuano Community Living Adlaw'ng
cebuano|1|Ang Sorpresa|414|423|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Tabanog ni Isko|0|73|13|leading|credit|Ang Tabanog ni Isko Gisuwat ni: Brezzy Mae A. Navarro Non Fiction Cebuano
cebuano|1|Ang Tabanog ni Isko|327|336|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Tabanog|0|75|12|leading|credit|Ang Tabanog Gisuwat ni: Elvira J. Buot Cebuano Community Living Ang Tabanog
cebuano|1|Ang Tabanog|309|318|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Tam-is nga Mansanas|0|58|9|leading|title_author|Ang Tam-is nga Mansanas Kedar Shrestha Binita Buddhacharya
cebuano|1|Ang Tanaman ni Helen|0|105|17|leading|credit|Ang Tanaman ni Helen Sinulat ni: Cecile S. Boyonas Gidibuho ni: Elizar C. Gacong Cebuano Community Living
cebuano|1|Ang Tanaman ni Helen|421|430|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Tasa|0|79|13|leading|credit|Ang Tasa Gisuwat ni: Charie R. Barangan Gidibuho ni: Jasper Momo Primer Cebuano
cebuano|1|Ang Tasa|175|184|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Tsinelas|0|66|11|leading|credit|Ang Tsinelas Gisuwat ni: Brezzy Mae A. Navarro Cebuano Non Fiction
cebuano|1|Ang Tsinelas|331|340|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Tubig sa Gripo|0|64|10|leading|credit|Ang Tubig sa Gripo Gisuwat ni: Milagros Meca Cebuano Environment
cebuano|1|Ang Tubig sa Gripo|327|336|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Tunghaan|0|67|10|leading|credit|Ang Tunghaan Gisuwat ni: Rosalie D. Racaza Cebuano Community Living
cebuano|1|Ang Tunghaan|345|354|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Unlan|0|50|8|leading|credit|Ang Unlan Gisuwat ni: Elvira Bout Community Living
cebuano|1|Ang Unlan|149|158|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Upat ka Managsuon|0|71|12|leading|credit|Ang Upat ka Managsuon Gisuwat ni: Brezzy Mae A. Navarro Culture Cebuano
cebuano|1|Ang Upat ka Managsuon|315|324|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Utanon|0|65|10|leading|credit|Ang Utanon Gisuwat ni: Cecilia Y. Wahing Cebuano Community Living
cebuano|1|Ang Utanon|340|349|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Xylophone|0|70|10|leading|credit|Ang Xylophone Gisuwat ni: Richel T. Razon Cebuano Personal Development
cebuano|1|Ang Xylophone|470|479|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Yoyo|0|60|10|leading|credit|Ang Yoyo Gisuwat ni: Elvira J. Buot Cebuano Community Living
cebuano|1|Ang Yoyo|123|132|1|trailing|end_marker|KATAPUSAN
cebuano|1|Atis ug Tambis|0|100|16|leading|credit|Atis ug Tambis Gisuwat ni: Mhar-ann S. Marcha Gidibuho ni: Carlos Isidro Geonzon Cebuano Agriculture
cebuano|1|Atis ug Tambis|207|216|1|trailing|end_marker|KATAPUSAN
cebuano|1|Baha sa Tunghaan sa Inayagan|0|76|11|leading|credit|Baha sa Tunghaan sa Inayagan Gisuwat ni: Jovenia Cabiana Environment Cebuano
cebuano|1|Baha sa Tunghaan sa Inayagan|407|416|1|trailing|end_marker|KATAPUSAN
cebuano|1|Balay ni Maya|0|84|14|leading|credit|Balay ni Maya Sinulat ni: Charie R. Barangan Gidibuhi ni: Jasper Momo Cebuano Primer
cebuano|1|Balay ni Maya|192|201|1|trailing|end_marker|KATAPUSAN
cebuano|1|Barangay Ko Ampingan Ko|0|88|14|leading|credit|Baranggay Ko, Ampingan Ko Gisuwat ni: Adapted Gidibuho ni: Cleo D. Cabahug Ang Baranggay
cebuano|1|Barangay Ko Ampingan Ko|527|536|1|trailing|end_marker|KATAPUSAN
cebuano|1|Buhok ni Mila|0|91|16|leading|credit|Buhok ni Mila Sinulat ni: Brezzy Mae A. Navarro Gidibuho ni: Justin M. Pono Cebuano Science
cebuano|1|Buhok ni Mila|249|258|1|trailing|end_marker|KATAPUSAN
cebuano|1|Dagan|0|103|15|leading|credit|Dagan! Gisuwat ni: Elizabeth E. Ugdamin Cebuano Personal Development Dagan Dani! Dagan Dina! Dagan Doni
cebuano|1|Dagan|161|170|1|trailing|end_marker|KATAPUSAN
cebuano|1|Duha ka Higala|0|71|11|leading|credit|Duha ka Higala Gisuwat ni: Jaypee S. Tillor Traditional Stories Cebuano
cebuano|1|Duha ka Higala|358|367|1|trailing|end_marker|KATAPUSAN
cebuano|1|Gaihap ug Iring|0|42|7|leading|genre_tag|Gaihap ug Iring Level , Grade Cebuano Math
cebuano|1|Gaihap ug Iring|311|336|4|interior|credit|Gisuwat ni: Milagros Meca
cebuano|1|Gaihap ug Iring|356|363|1|interior|genre_tag|Cebuano
cebuano|1|Gaihap ug Iring|394|524|20|interior|publisher|Copyright © , Enabling Writers Project - University of San Jose - Recoletos You are free to make commercial use of this work. You
cebuano|1|Gaihap ug Iring|575|818|37|interior|publisher|copyright and credits for authors, illustrators, etc. Translations-If you create a translation of this work, please add the following disclaimer along with the attribution: This translation was not created by USAID and should not be considered
cebuano|1|Gaihap ug Iring|831|947|19|interior|publisher|USAID translation. USAID shall not be liable for any content or error in this translation. Adaptations-If you create
cebuano|1|Gaihap ug Iring|1085|1245|27|interior|publisher|USAID. Views and opinions expressed in the adptation are the sole responsibility of the author or authors of the adaptation and are not endorsed by USAID. Pila
cebuano|1|Kaka ni Katkat|0|67|11|leading|credit|Kaka ni Katkat Gisuwat ni: Yohlea D. Remocaldo Science Cebuano Kaka
cebuano|1|Kaka ni Katkat|160|169|1|trailing|end_marker|KATAPUSAN
cebuano|1|Kaka|0|70|11|leading|credit|Kaka Gisuwat ni: Jovenia Cabiana Cebuano Animal Stories Mama Mata Kaka
cebuano|1|Kaka|94|103|1|trailing|end_marker|KATAPUSAN
cebuano|1|Kaloy Mag-uuma|0|95|16|leading|credit|Kaloy Mag-uuma Gisuwat ni: Joan P. Sanchez Gidibuho ni: Justin M. Pono Cebuano Community Living
cebuano|1|Kaloy Mag-uuma|222|231|1|trailing|end_marker|KATAPUSAN
cebuano|1|Kari na ug mulupad!|0|9|3|leading|names_or_title|Let's Fly
